>XM_001388418.3 Aspergillus niger uncharacterized protein (An01g00030), partial mRNA
>XM_001389111.1 Aspergillus niger uncharacterized protein (An01g07240), partial mRNA
>XM_001389112.3 Aspergillus niger uncharacterized protein (An01g07250), partial mRNA
>XM_001389113.3 Aspergillus niger uncharacterized protein (An01g07260), partial mRNA
>XM_001389114.1 Aspergillus niger mitochondrial 54S ribosomal protein uL10m (An01g07270), partial mRNA
>XM_001389115.3 Aspergillus niger uncharacterized protein (An01g07280), partial mRNA
>XM_001389117.3 Aspergillus niger uncharacterized protein (An01g07300), partial mRNA
>XM_001389119.3 Aspergillus niger uncharacterized protein (An01g07320), partial mRNA
>XM_001389122.3 Aspergillus niger uncharacterized protein (An01g07350), partial mRNA
>XM_001389124.3 Aspergillus niger uncharacterized protein (An01g07370), partial mRNA
>XM_001389125.3 Aspergillus niger uncharacterized protein (An01g07380), partial mRNA
>XM_001389126.3 Aspergillus niger uncharacterized protein (An01g07390), partial mRNA
>XM_001389128.3 Aspergillus niger uncharacterized protein (An01g07410), partial mRNA
>XM_001389129.3 Aspergillus niger uncharacterized protein (An01g07420), partial mRNA
>XM_001389138.3 Aspergillus niger uncharacterized protein (An01g07500), partial mRNA
>XM_001389139.3 Aspergillus niger uncharacterized protein (An01g07510), partial mRNA
>XM_001389141.3 Aspergillus niger uncharacterized protein (An01g07530), partial mRNA
>XM_001389147.1 Aspergillus niger uncharacterized protein (An01g07590), partial mRNA
>XM_001389150.3 Aspergillus niger uncharacterized protein (An01g07615), partial mRNA
>XM_001389152.1 Aspergillus niger uncharacterized protein (An01g07650), partial mRNA
>XM_001389153.3 Aspergillus niger uncharacterized protein (An01g07660), partial mRNA
>XM_001389159.3 Aspergillus niger uncharacterized protein (An01g07720), partial mRNA
>XM_001389165.3 Aspergillus niger uncharacterized protein (An01g07770), partial mRNA
>XM_001389169.3 Aspergillus niger uncharacterized protein (An01g07810), partial mRNA
>XM_001389170.3 Aspergillus niger uncharacterized protein (An01g07820), partial mRNA
>XM_001389172.1 Aspergillus niger uncharacterized protein (An01g07840), partial mRNA
>XM_001389174.1 Aspergillus niger uncharacterized protein (An01g07860), partial mRNA
>XM_001389175.3 Aspergillus niger uncharacterized protein (An01g07870), partial mRNA
>XM_001389183.1 Aspergillus niger uncharacterized protein (An01g07950), partial mRNA
>XM_001389186.1 Aspergillus niger uncharacterized protein (An01g07980), partial mRNA
>XM_001389187.3 Aspergillus niger uncharacterized protein (An01g07990), partial mRNA
>XM_001389189.1 Aspergillus niger uncharacterized protein (An01g08010), partial mRNA
>XM_001389190.3 Aspergillus niger hypothetical protein (An01g08020), partial mRNA
>XM_001389191.3 Aspergillus niger uncharacterized protein (An01g08030), partial mRNA
>XM_001389193.3 Aspergillus niger uncharacterized protein (An01g08050), partial mRNA
>XM_001389197.3 Aspergillus niger uncharacterized protein (An01g08090), partial mRNA
>XM_001389198.3 Aspergillus niger uncharacterized protein (An01g08100), partial mRNA
>XM_001389199.1 Aspergillus niger uncharacterized protein (An01g08110), partial mRNA
>XM_001389200.1 Aspergillus niger uncharacterized protein (An01g08120), partial mRNA
>XM_001389201.3 Aspergillus niger uncharacterized protein (An01g08130), partial mRNA
>XM_001389203.1 Aspergillus niger uncharacterized protein (An01g08150), partial mRNA
>XM_001389205.1 Aspergillus niger uncharacterized protein (An01g08170), partial mRNA
>XM_001389206.3 Aspergillus niger uncharacterized protein (An01g08180), partial mRNA
>XM_001389211.1 Aspergillus niger uncharacterized protein (An01g08230), partial mRNA
>XM_001389217.3 Aspergillus niger uncharacterized protein (An01g08280), partial mRNA
>XM_001389222.1 Aspergillus niger uncharacterized protein (An01g08370), partial mRNA
>XM_001389223.1 Aspergillus niger uncharacterized protein (An01g08380), partial mRNA
>XM_001389224.1 Aspergillus niger mitochondrial 54S ribosomal protein bL31m (An01g08390), partial mRNA
>XM_001389225.3 Aspergillus niger uncharacterized protein (An01g08400), partial mRNA
>XM_001389226.3 Aspergillus niger uncharacterized protein (An01g08410), partial mRNA
>XM_001389227.3 Aspergillus niger uncharacterized protein (An01g08420), partial mRNA
>XM_001389228.3 Aspergillus niger uncharacterized protein (An01g08430), partial mRNA
>XM_001389229.3 Aspergillus niger uncharacterized protein (An01g08440), partial mRNA
>XM_001389234.3 Aspergillus niger uncharacterized protein (An01g08490), partial mRNA
>XM_001389235.3 Aspergillus niger uncharacterized protein (An01g08500), partial mRNA
>XM_001389236.3 Aspergillus niger hypothetical protein (An01g08510), partial mRNA
>XM_001389237.3 Aspergillus niger uncharacterized protein (An01g08520), partial mRNA
>XM_001389238.3 Aspergillus niger kexin precursor kexB-Aspergillus niger (kexB), partial mRNA
>XM_001389239.1 Aspergillus niger uncharacterized protein (An01g08540), partial mRNA
>XM_001389240.3 Aspergillus niger uncharacterized protein (An01g08550), partial mRNA
>XM_001389242.3 Aspergillus niger uncharacterized protein (An01g08570), partial mRNA
>XM_001389243.3 Aspergillus niger uncharacterized protein (An01g08580), partial mRNA
>XM_001389244.3 Aspergillus niger uncharacterized protein (An01g08590), partial mRNA
>XM_001389245.3 Aspergillus niger uncharacterized protein (An01g08600), partial mRNA
>XM_001389246.3 Aspergillus niger uncharacterized protein (An01g08610), partial mRNA
>XM_001389247.1 Aspergillus niger uncharacterized protein (An01g08620), partial mRNA
>XM_001389248.1 Aspergillus niger uncharacterized protein (An01g08630), partial mRNA
>XM_001389250.1 Aspergillus niger hypothetical protein (An01g08650), partial mRNA
>XM_001389251.3 Aspergillus niger uncharacterized protein (An01g08660), partial mRNA
>XM_001389254.1 Aspergillus niger uncharacterized protein (An01g08690), partial mRNA
>XM_001389256.1 Aspergillus niger uncharacterized protein (An01g08710), partial mRNA
>XM_001389257.3 Aspergillus niger uncharacterized protein (An01g08720), partial mRNA
>XM_001389258.3 Aspergillus niger uncharacterized protein (An01g08730), partial mRNA
>XM_001389263.3 Aspergillus niger uncharacterized protein (An01g08780), partial mRNA
>XM_001389264.3 Aspergillus niger uncharacterized protein (An01g08790), partial mRNA
>XM_001389269.1 Aspergillus niger uncharacterized protein (An01g08840), partial mRNA
>XM_001389270.3 Aspergillus niger 40S ribosomal protein RACK1 (An01g08850), partial mRNA
>XM_001389271.3 Aspergillus niger uncharacterized protein (An01g08860), partial mRNA
>XM_001389272.3 Aspergillus niger uncharacterized protein (An01g08870), partial mRNA
>XM_001389273.3 Aspergillus niger uncharacterized protein (An01g08880), partial mRNA
>XM_001389274.3 Aspergillus niger hypothetical protein (An01g08890), partial mRNA
>XM_001389275.3 Aspergillus niger uncharacterized protein (An01g08900), partial mRNA
>XM_001389277.1 Aspergillus niger uncharacterized protein (An01g08920), partial mRNA
>XM_001389279.3 Aspergillus niger uncharacterized protein (An01g08950), partial mRNA
>XM_001389280.3 Aspergillus niger uncharacterized protein (An01g08960), partial mRNA
>XM_001389282.3 Aspergillus niger uncharacterized protein (An01g08980), partial mRNA
>XM_001389284.3 Aspergillus niger uncharacterized protein (An01g09000), partial mRNA
>XM_001389285.1 Aspergillus niger uncharacterized protein (An01g09010), partial mRNA
>XM_001389288.3 Aspergillus niger uncharacterized protein (An01g09040), partial mRNA
>XM_001389289.1 Aspergillus niger uncharacterized protein (An01g09050), partial mRNA
>XM_001389294.3 Aspergillus niger uncharacterized protein (An01g09100), partial mRNA
>XM_001389296.3 Aspergillus niger mitochondrial 37S ribosomal protein mS35 (An01g09120), partial mRNA
>XM_001389297.3 Aspergillus niger hypothetical protein (An01g09140), partial mRNA
>XM_001389301.1 Aspergillus niger uncharacterized protein (An01g09170), partial mRNA
>XM_001389303.3 Aspergillus niger uncharacterized protein (An01g09190), partial mRNA
>XM_001389305.3 Aspergillus niger uncharacterized protein (An01g09220), partial mRNA
>XM_001389310.3 Aspergillus niger uncharacterized protein (An01g09270), partial mRNA
>XM_001389312.3 Aspergillus niger uncharacterized protein (An01g09290), partial mRNA
>XM_001389314.3 Aspergillus niger uncharacterized protein (An01g09310), partial mRNA
>XM_001389315.1 Aspergillus niger uncharacterized protein (An01g09320), partial mRNA
>XM_001389318.3 Aspergillus niger uncharacterized protein (An01g09350), partial mRNA
>XM_001389322.1 Aspergillus niger uncharacterized protein (An01g09390), partial mRNA
>XM_001389323.1 Aspergillus niger uncharacterized protein (An01g09400), partial mRNA
>XM_001389331.3 Aspergillus niger uncharacterized protein (An01g09480), partial mRNA
>XM_001389332.3 Aspergillus niger uncharacterized protein (An01g09490), partial mRNA
>XM_001389333.3 Aspergillus niger uncharacterized protein (An01g09500), partial mRNA
>XM_001389334.3 Aspergillus niger uncharacterized protein (An01g09510), partial mRNA
>XM_001389335.3 Aspergillus niger uncharacterized protein (An01g09520), partial mRNA
>XM_001389337.1 Aspergillus niger uncharacterized protein (An01g09540), partial mRNA
>XM_001389338.3 Aspergillus niger uncharacterized protein (An01g09550), partial mRNA
>XM_001389340.1 Aspergillus niger uncharacterized protein (An01g09570), partial mRNA
>XM_001389342.3 Aspergillus niger uncharacterized protein (An01g09590), partial mRNA
>XM_001389344.3 Aspergillus niger uncharacterized protein (An01g09610), partial mRNA
>XM_001389345.1 Aspergillus niger uncharacterized protein (An01g09620), partial mRNA
>XM_001389346.3 Aspergillus niger uncharacterized protein (An01g09630), partial mRNA
>XM_001389347.1 Aspergillus niger uncharacterized protein (An01g09640), partial mRNA
>XM_001389348.3 Aspergillus niger uncharacterized protein (An01g09650), partial mRNA
>XM_001389356.3 Aspergillus niger uncharacterized protein (An01g09730), partial mRNA
>XM_001389357.1 Aspergillus niger uncharacterized protein (An01g09740), partial mRNA
>XM_001389358.1 Aspergillus niger uncharacterized protein (An01g09750), partial mRNA
>XM_001389359.1 Aspergillus niger uncharacterized protein (An01g09760), partial mRNA
>XM_001389361.1 Aspergillus niger uncharacterized protein (An01g09780), partial mRNA
>XM_001389363.3 Aspergillus niger uncharacterized protein (An01g09800), partial mRNA
>XM_001389364.1 Aspergillus niger uncharacterized protein (An01g09810), partial mRNA
>XM_001389366.3 Aspergillus niger uncharacterized protein (An01g09830), partial mRNA
>XM_001389367.3 Aspergillus niger hypothetical protein (An01g09840), partial mRNA
>XM_001389368.1 Aspergillus niger uncharacterized protein (An01g09850), partial mRNA
>XM_001389369.1 Aspergillus niger uncharacterized protein (An01g09860), partial mRNA
>XM_001389371.3 Aspergillus niger uncharacterized protein (An01g09880), partial mRNA
>XM_001389372.3 Aspergillus niger uncharacterized protein (An01g09890), partial mRNA
>XM_001389373.1 Aspergillus niger uncharacterized protein (An01g09900), partial mRNA
>XM_001389376.1 Aspergillus niger uncharacterized protein (An01g09930), partial mRNA
>XM_001389377.3 Aspergillus niger uncharacterized protein (An01g09940), partial mRNA
>XM_001389378.1 Aspergillus niger uncharacterized protein (An01g09950), partial mRNA
>XM_001389379.3 Aspergillus niger xylosidase xlnD-Aspergillus niger (xlnD), partial mRNA
>XM_001389381.3 Aspergillus niger uncharacterized protein (An01g09980), partial mRNA
>XM_001389382.1 Aspergillus niger uncharacterized protein (An01g10000), partial mRNA
>XM_001389383.3 Aspergillus niger uncharacterized protein (An01g10010), partial mRNA
>XM_001389387.3 Aspergillus niger uncharacterized protein (An01g10050), partial mRNA
>XM_001389388.1 Aspergillus niger uncharacterized protein (An01g10060), partial mRNA
>XM_001389389.1 Aspergillus niger uncharacterized protein (An01g10070), partial mRNA
>XM_001389392.1 Aspergillus niger uncharacterized protein (An01g10100), partial mRNA
>XM_001389396.3 Aspergillus niger uncharacterized protein (An01g10140), partial mRNA
>XM_001389397.1 Aspergillus niger uncharacterized protein (An01g10150), partial mRNA
>XM_001389399.1 Aspergillus niger uncharacterized protein (An01g10170), partial mRNA
>XM_001389401.3 Aspergillus niger uncharacterized protein (An01g10190), partial mRNA
>XM_001389406.1 Aspergillus niger uncharacterized protein (An01g10240), partial mRNA
>XM_001389408.1 Aspergillus niger uncharacterized protein (An01g10270), partial mRNA
>XM_001389413.1 Aspergillus niger hypothetical protein (An01g10320), partial mRNA
>XM_001389415.1 Aspergillus niger uncharacterized protein (An01g10340), partial mRNA
>XM_001389417.3 Aspergillus niger uncharacterized protein (An01g10360), partial mRNA
>XM_001389419.3 Aspergillus niger uncharacterized protein (An01g10380), partial mRNA
>XM_001389427.3 Aspergillus niger uncharacterized protein (An01g10460), partial mRNA
>XM_001389435.3 Aspergillus niger uncharacterized protein (An01g10540), partial mRNA
>XM_001389438.3 Aspergillus niger uncharacterized protein (An01g10570), partial mRNA
>XM_001389439.3 Aspergillus niger uncharacterized protein (An01g10580), partial mRNA
>XM_001389441.3 Aspergillus niger uncharacterized protein (An01g10600), partial mRNA
>XM_001389442.1 Aspergillus niger uncharacterized protein (An01g10610), partial mRNA
>XM_001389443.3 Aspergillus niger hypothetical protein (An01g10620), partial mRNA
>XM_001389445.1 Aspergillus niger uncharacterized protein (An01g10640), partial mRNA
>XM_001389446.1 Aspergillus niger uncharacterized protein (An01g10650), partial mRNA
>XM_001389449.1 Aspergillus niger uncharacterized protein (An01g10690), partial mRNA
>XM_001389452.3 Aspergillus niger 40S ribosomal protein eS25 (An01g10720), partial mRNA
>XM_001389454.3 Aspergillus niger uncharacterized protein (An01g10740), partial mRNA
>XM_001389457.3 Aspergillus niger uncharacterized protein (An01g10770), partial mRNA
>XM_001389459.3 Aspergillus niger uncharacterized protein (An01g10790), partial mRNA
>XM_001389460.1 Aspergillus niger uncharacterized protein (An01g10800), partial mRNA
>XM_001389464.1 Aspergillus niger uncharacterized protein (An01g10840), partial mRNA
>XM_001389468.3 Aspergillus niger uncharacterized protein (An01g10880), partial mRNA
>XM_001389470.3 Aspergillus niger uncharacterized protein (An01g10900), partial mRNA
>XM_001389472.3 Aspergillus niger uncharacterized protein (An01g10920), partial mRNA
>XM_001389474.1 Aspergillus niger hypothetical protein (An01g10940), partial mRNA
>XM_001389475.3 Aspergillus niger uncharacterized protein (An01g10950), partial mRNA
>XM_001389476.3 Aspergillus niger uncharacterized protein (An01g10960), partial mRNA
>XM_001389477.1 Aspergillus niger uncharacterized protein (An01g10970), partial mRNA
>XM_001389479.1 Aspergillus niger uncharacterized protein (An01g10990), partial mRNA
>XM_001389480.1 Aspergillus niger uncharacterized protein (An01g11000), partial mRNA
>XM_001389481.3 Aspergillus niger uncharacterized protein (An01g11010), partial mRNA
>XM_001389484.1 Aspergillus niger uncharacterized protein (An01g11070), partial mRNA
>XM_001389490.1 Aspergillus niger uncharacterized protein (An01g11140), partial mRNA
>XM_001389492.3 Aspergillus niger uncharacterized protein (An01g11160), partial mRNA
>XM_001389493.1 Aspergillus niger hypothetical protein (An01g11170), partial mRNA
>XM_001389494.3 Aspergillus niger uncharacterized protein (An01g11180), partial mRNA
>XM_001389502.3 Aspergillus niger uncharacterized protein (An01g11270), partial mRNA
