>XM_001481341.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G00342), partial mRNA
>XM_001481595.1 Aspergillus fumigatus Af293 CCCH zinc finger domain protein (AFUA_2G02160), partial mRNA
>XM_001481596.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G02165), partial mRNA
>XM_001481597.1 Aspergillus fumigatus Af293 RNA processing protein Grc3, putative (AFUA_2G02190), partial mRNA
>XM_001481598.1 Aspergillus fumigatus Af293 F1F0 ATP synthase subunit i (AFUA_2G02275), partial mRNA
>XM_001481599.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_2G02485), partial mRNA
>XM_001481600.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G02490), partial mRNA
>XM_001481601.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G03155), partial mRNA
>XM_001481602.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_2G04262), partial mRNA
>XM_001481603.1 Aspergillus fumigatus Af293 glutamine amidotransferase subunit DUG2 (AFUA_2G04360), partial mRNA
>XM_001481604.1 Aspergillus fumigatus Af293 Bys1 family protein (AFUA_2G04533), partial mRNA
>XM_001481605.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G04535), partial mRNA
>XM_001481606.1 Aspergillus fumigatus Af293 translation elongation factor EF-1 subunit, putative (AFUA_2G04630), partial mRNA
>XM_001481607.1 Aspergillus fumigatus Af293 acetyltransferase, GNAT family, putative (AFUA_2G05085), partial mRNA
>XM_001481608.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G05115), partial mRNA
>XM_001481609.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G05120), partial mRNA
>XM_001481610.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_2G05635), partial mRNA
>XM_001481611.1 Aspergillus fumigatus Af293 SET domain protein (AFUA_2G08775), partial mRNA
>XM_001481612.1 Aspergillus fumigatus Af293 Arf family guanine nucleotide exchange factor SYT1 (AFUA_2G08780), partial mRNA
>XM_001481613.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G09282), partial mRNA
>XM_001481614.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G10205), partial mRNA
>XM_001481615.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G10580), partial mRNA
>XM_001481616.1 Aspergillus fumigatus Af293 phosphoribosylglycinamide formyltransferase (AFUA_2G10855), partial mRNA
>XM_001481617.1 Aspergillus fumigatus Af293 RING finger protein (AFUA_2G10860), partial mRNA
>XM_001481618.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G11470), partial mRNA
>XM_001481619.1 Aspergillus fumigatus Af293 BAR domain protein (AFUA_2G11475), partial mRNA
>XM_001481620.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_2G13175), partial mRNA
>XM_001481621.1 Aspergillus fumigatus Af293 GYF domain protein (AFUA_2G13290), partial mRNA
>XM_001481622.1 Aspergillus fumigatus Af293 aminotransferase family protein (LolT), putative (AFUA_2G13295), partial mRNA
>XM_001481623.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G13500), partial mRNA
>XM_001481624.1 Aspergillus fumigatus Af293 DUF300 domain protein (AFUA_2G13512), partial mRNA
>XM_001481625.1 Aspergillus fumigatus Af293 2-methylcitrate dehydratase (PrpD), putative (AFUA_2G13610), partial mRNA
>XM_001481626.1 Aspergillus fumigatus Af293 IQ calmodulin-binding motif protein (AFUA_2G13615), partial mRNA
>XM_001481627.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G14525), partial mRNA
>XM_001481628.1 Aspergillus fumigatus Af293 esterase, putative (AFUA_2G14530), partial mRNA
>XM_001481629.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G14547), partial mRNA
>XM_001481630.1 Aspergillus fumigatus Af293 citrate synthase, putative (AFUA_2G15312), partial mRNA
>XM_001481631.1 Aspergillus fumigatus Af293 sister chromatid cohesion protein Dcc1, putative (AFUA_2G15905), partial mRNA
>XM_001481632.1 Aspergillus fumigatus Af293 mannan polymerase II complex ANP1 subunit Anp1, putative (AFUA_2G15910), partial mRNA
>XM_001481633.1 Aspergillus fumigatus Af293 glycosyltransferase family protein (AFUA_2G15915), partial mRNA
>XM_001481634.1 Aspergillus fumigatus Af293 TFIIIC transcription initiation factor complex subunits Tfc3, putative (AFUA_2G16462), partial mRNA
>XM_001481635.1 Aspergillus fumigatus Af293 phosphatidic acid-binding protein CHM7 (AFUA_2G16692), partial mRNA
>XM_001481636.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G16980), partial mRNA
>XM_001481637.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_2G16985), partial mRNA
>XM_001481638.1 Aspergillus fumigatus Af293 L-PSP endoribonuclease family protein, putative (AFUA_2G17470), partial mRNA
>XM_001481639.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_2G17475), partial mRNA
>XM_001481640.1 Aspergillus fumigatus Af293 MFS monocarboxylate transporter, putative (AFUA_1G00100), partial mRNA
>XM_001481641.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G01175), partial mRNA
>XM_001481642.1 Aspergillus fumigatus Af293 isoamyl alcohol oxidase, putative (AFUA_1G01180), partial mRNA
>XM_001481643.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G01265), partial mRNA
>XM_001481644.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G02255), partial mRNA
>XM_001481645.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G02260), partial mRNA
>XM_001481646.1 Aspergillus fumigatus Af293 6-phosphogluconolactonase, putative (AFUA_1G02980), partial mRNA
>XM_001481647.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G02985), partial mRNA
>XM_001481648.1 Aspergillus fumigatus Af293 HD superfamily hydrolase, putative (AFUA_1G03035), partial mRNA
>XM_001481649.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03040), partial mRNA
>XM_001481650.1 Aspergillus fumigatus Af293 alpha-1,3-glucanase/mutanase, putative (AFUA_1G03352), partial mRNA
>XM_001481651.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03992), partial mRNA
>XM_001481652.1 Aspergillus fumigatus Af293 ubiquitin UbiA, putative (AFUA_1G04040), partial mRNA
>XM_001481653.1 Aspergillus fumigatus Af293 RNA polymerase I specific transcription initiation factor Rrn7, putative (AFUA_1G04062), partial mRNA
>XM_001481654.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G04455), partial mRNA
>XM_001481655.1 Aspergillus fumigatus Af293 ubiquitin-protein ligase RMD5 (AFUA_1G04490), partial mRNA
>XM_001481656.1 Aspergillus fumigatus Af293 alpha/beta hydrolase, putative (AFUA_1G05590), partial mRNA
>XM_001481657.1 Aspergillus fumigatus Af293 capsule-associated protein CAP1, putative (AFUA_1G05595), partial mRNA
>XM_001481658.1 Aspergillus fumigatus Af293 respiratory complex assembly protein Rmp1, putative (AFUA_1G05650), partial mRNA
>XM_001481659.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05655), partial mRNA
>XM_001481660.1 Aspergillus fumigatus Af293 LMBR1 domain protein (AFUA_1G06071), partial mRNA
>XM_001481661.1 Aspergillus fumigatus Af293 BAG domain protein (AFUA_1G06080), partial mRNA
>XM_001481662.1 Aspergillus fumigatus Af293 Leucine Rich Repeat domain protein (AFUA_1G06762), partial mRNA
>XM_001481663.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G07550), partial mRNA
>XM_001481664.1 Aspergillus fumigatus Af293 ubiquitin-specific protease, putative (AFUA_1G07555), partial mRNA
>XM_001481665.1 Aspergillus fumigatus Af293 WD domain protein (AFUA_1G07625), partial mRNA
>XM_001481666.1 Aspergillus fumigatus Af293 shugoshin family protein (AFUA_1G08795), partial mRNA
>XM_001481667.1 Aspergillus fumigatus Af293 DUF636 domain protein (AFUA_1G09754), partial mRNA
>XM_001481668.1 Aspergillus fumigatus Af293 cytochrome c oxidase assembly protein Cox19, putative (AFUA_1G09757), partial mRNA
>XM_001481669.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G10012), partial mRNA
>XM_001481670.1 Aspergillus fumigatus Af293 proteasome regulatory particle lid subunit SEM1 (AFUA_1G10355), partial mRNA
>XM_001481671.1 Aspergillus fumigatus Af293 RNA polymerase II Mediator complex subunit Sin4, putative (AFUA_1G10525), partial mRNA
>XM_001481672.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G10645), partial mRNA
>XM_001481673.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G10650), partial mRNA
>XM_001481674.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G11715), partial mRNA
>XM_001481675.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G11720), partial mRNA
>XM_001481676.1 Aspergillus fumigatus Af293 jumonji family transcription factor, putative (AFUA_1G12332), partial mRNA
>XM_001481677.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G12875), partial mRNA
>XM_001481678.1 Aspergillus fumigatus Af293 DUF543 domain protein (AFUA_1G13195), partial mRNA
>XM_001481679.1 Aspergillus fumigatus Af293 ubiquitin ligase complex subunit HRD3 (AFUA_1G14690), partial mRNA
>XM_001481680.1 Aspergillus fumigatus Af293 DNA repair protein Dds20/Mei5, putative (AFUA_1G14695), partial mRNA
>XM_001481681.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_1G14945), partial mRNA
>XM_001481682.1 Aspergillus fumigatus Af293 D-arabinono-1,4-lactone oxidase (AFUA_1G14950), partial mRNA
>XM_001481683.1 Aspergillus fumigatus Af293 DUF455 domain protein (AFUA_1G16564), partial mRNA
>XM_001481684.1 Aspergillus fumigatus Af293 DSBA family oxidoreductase, putative (AFUA_1G16635), partial mRNA
>XM_001481685.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G16640), partial mRNA
>XM_001481686.1 Aspergillus fumigatus Af293 aldose 1-epimerase family protein, putative (AFUA_1G17723), partial mRNA
>XM_024489248.1 Aspergillus fumigatus Af293 G protein complex beta subunit SfaD (AFUA_5G12210), partial mRNA
>XM_726386.1 Aspergillus fumigatus Af293 extracellular arabinanase, putative (AFUA_6G00770), partial mRNA
>XM_726387.1 Aspergillus fumigatus Af293 glutathione S-transferase, putative (AFUA_6G00760), partial mRNA
>XM_726388.1 Aspergillus fumigatus Af293 pyruvate decarboxylase, putative (AFUA_6G00750), partial mRNA
>XM_726389.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00740), partial mRNA
>XM_726390.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00730), partial mRNA
>XM_726391.2 Aspergillus fumigatus Af293 LysM domain protein, putative (AFUA_6G00720), partial mRNA
>XM_726392.2 Aspergillus fumigatus Af293 MFS transporter, putative (AFUA_6G00710), partial mRNA
>XM_726394.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00690), partial mRNA
>XM_726395.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00680), partial mRNA
>XM_726396.2 Aspergillus fumigatus Af293 extracellular serine-rich protein (AFUA_6G00670), partial mRNA
>XM_726397.1 Aspergillus fumigatus Af293 FAD binding domain protein (AFUA_6G00660), partial mRNA
>XM_726398.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00650), partial mRNA
>XM_726399.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00640), partial mRNA
>XM_726400.1 Aspergillus fumigatus Af293 MFS transporter, putative (AFUA_6G00630), partial mRNA
>XM_726401.1 Aspergillus fumigatus Af293 GPI anchored hypothetical protein (AFUA_6G00620), partial mRNA
>XM_726402.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00610), partial mRNA
>XM_726403.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00600), partial mRNA
>XM_726404.1 Aspergillus fumigatus Af293 ankyrin repeat protein (AFUA_6G00580), partial mRNA
>XM_726405.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00570), partial mRNA
>XM_726406.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00560), partial mRNA
>XM_726407.1 Aspergillus fumigatus Af293 glycosyl transferase family 8 family, putative (AFUA_6G00550), partial mRNA
>XM_726408.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00540), partial mRNA
>XM_726409.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00530), partial mRNA
>XM_726410.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00520), partial mRNA
>XM_726411.1 Aspergillus fumigatus Af293 NADP-dependent alcohol dehydrogenase (AFUA_6G00510), partial mRNA
>XM_726412.1 Aspergillus fumigatus Af293 chitosanase, putative (AFUA_6G00500), partial mRNA
>XM_726413.1 Aspergillus fumigatus Af293 DUF521 domain protein (AFUA_6G00490), partial mRNA
>XM_726414.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00480), partial mRNA
>XM_726415.1 Aspergillus fumigatus Af293 plasma membrane zinc ion transporter, putative (AFUA_6G00470), partial mRNA
>XM_726416.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00460), partial mRNA
>XM_726417.1 Aspergillus fumigatus Af293 feruloyl esterase, putative (AFUA_6G00450), partial mRNA
>XM_726418.1 Aspergillus fumigatus Af293 cation diffusion facilitator, putative (AFUA_6G00440), partial mRNA
>XM_726419.1 Aspergillus fumigatus Af293 IgE-binding protein (AFUA_6G00430), partial mRNA
>XM_726422.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00400), partial mRNA
>XM_726423.1 Aspergillus fumigatus Af293 aminotransferase, putative (AFUA_6G00390), partial mRNA
>XM_726425.1 Aspergillus fumigatus Af293 aminotransferase, putative (AFUA_6G00370), partial mRNA
>XM_726426.2 Aspergillus fumigatus Af293 DUF453 domain protein (AFUA_6G00360), partial mRNA
>XM_726427.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00350), partial mRNA
>XM_726428.2 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00340), partial mRNA
>XM_726429.2 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00330), partial mRNA
>XM_726430.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00320), partial mRNA
>XM_726431.1 Aspergillus fumigatus Af293 serine carboxypeptidase (CpdS), putative (AFUA_6G00310), partial mRNA
>XM_726432.1 Aspergillus fumigatus Af293 serine palmitoyltransferase 1, putative (AFUA_6G00300), partial mRNA
>XM_726433.1 Aspergillus fumigatus Af293 aminotransferase, putative (AFUA_6G00290), partial mRNA
>XM_726434.1 Aspergillus fumigatus Af293 NmrA-like family protein (AFUA_6G00280), partial mRNA
>XM_726435.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00270), partial mRNA
>XM_726436.1 Aspergillus fumigatus Af293 phosphatidylserine decarboxylase family protein (AFUA_6G00260), partial mRNA
>XM_726437.1 Aspergillus fumigatus Af293 GPI anchored protein, putative (AFUA_6G00250), partial mRNA
>XM_726438.1 Aspergillus fumigatus Af293 4-hydroxyphenylpyruvate dioxygenase, putative (AFUA_6G00240), partial mRNA
>XM_726439.1 Aspergillus fumigatus Af293 NmrA-like family protein (AFUA_6G00230), partial mRNA
>XM_726440.1 Aspergillus fumigatus Af293 fungal specific transcription factor, putative (AFUA_6G00220), partial mRNA
>XM_726441.1 Aspergillus fumigatus Af293 monocarboxylate transporter, putative (AFUA_6G00210), partial mRNA
>XM_726442.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_6G00200), partial mRNA
>XM_726443.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00196), partial mRNA
>XM_726444.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00193), partial mRNA
>XM_726445.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00190), partial mRNA
>XM_726446.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00180), partial mRNA
>XM_726447.1 Aspergillus fumigatus Af293 Ser/Thr protein phosphatase family protein (AFUA_6G00160), partial mRNA
>XM_726450.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G00140), partial mRNA
>XM_726451.1 Aspergillus fumigatus Af293 MFS transporter, putative (AFUA_6G00130), partial mRNA
>XM_726452.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_6G00120), partial mRNA
>XM_726453.1 Aspergillus fumigatus Af293 dihydrodipicolinate synthetase family protein (AFUA_6G00110), partial mRNA
>XM_741204.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_4G01600), partial mRNA
>XM_741205.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_4G01590), partial mRNA
>XM_741206.1 Aspergillus fumigatus Af293 ankyrin repeat protein (AFUA_4G01580), partial mRNA
>XM_741207.1 Aspergillus fumigatus Af293 amino acid transporter, putative (AFUA_4G01570), partial mRNA
>XM_741208.1 Aspergillus fumigatus Af293 MFS myo-inositol transporter, putative (AFUA_4G01560), partial mRNA
>XM_741209.1 Aspergillus fumigatus Af293 aldehyde dehydrogenase, putative (AFUA_4G01550), partial mRNA
>XM_741210.1 Aspergillus fumigatus Af293 salicylate hydroxylase, putative (AFUA_4G01530), partial mRNA
>XM_741212.1 Aspergillus fumigatus Af293 gentisate 1,2-dioxygenase, putative (AFUA_4G01520), partial mRNA
>XM_741213.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_4G01510), partial mRNA
>XM_741214.2 Aspergillus fumigatus Af293 lignostilbene dioxygenase, putative (AFUA_4G01500), partial mRNA
>XM_741215.1 Aspergillus fumigatus Af293 fumarylacetoacetate hydrolase family protein (AFUA_4G01490), partial mRNA
>XM_741216.2 Aspergillus fumigatus Af293 MFS transporter, putative (AFUA_4G01480), partial mRNA
>XM_741217.1 Aspergillus fumigatus Af293 C6 finger domain protein, putative (AFUA_4G01470), partial mRNA
>XM_741218.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G01460), partial mRNA
>XM_741219.1 Aspergillus fumigatus Af293 phospho-2-dehydro-3-deoxyheptonate aldolase (AFUA_4G01450), partial mRNA
>XM_741220.1 Aspergillus fumigatus Af293 glutathione S-transferase family protein (AFUA_4G01440), partial mRNA
>XM_741221.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_4G01430), partial mRNA
>XM_741222.1 Aspergillus fumigatus Af293 spore wall assembly protein Dit1, putative (AFUA_4G01420), partial mRNA
>XM_741223.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G01410), partial mRNA
